用途,本番ファイル,扱い
TOP HERO,02_実装用画像/01_TOP/hero_main_1600x900.jpg,使用
TOP CATEGORY APPAREL,02_実装用画像/01_TOP/category_apparel_1200x800.jpg,使用。文字はHTML/CSS
TOP CATEGORY GOODS,02_実装用画像/01_TOP/category_goods_1200x800.jpg,使用。実物缶バッジ写真。文字はHTML/CSS
TOP DAILY 1,02_実装用画像/02_DAILY/daily_01_city_1200x900.jpg,使用可
TOP DAILY 2,02_実装用画像/02_DAILY/daily_03_burgundy_1200x900.jpg,使用可
TOP DAILY 3,02_実装用画像/02_DAILY/daily_05_navy_1200x900.jpg,使用可
TOP DAILY 4,02_実装用画像/02_DAILY/daily_08_cap_detail_1200x900.jpg,使用可
CAP 商品メイン,02_実装用画像/03_PRODUCT_CAP/cap_navy_white_1600x1600.jpg,実物写真
CAP バーガンディー,02_実装用画像/03_PRODUCT_CAP/cap_burgundy_product_1600x1600.jpg,実物写真
CAP ベージュ,02_実装用画像/03_PRODUCT_CAP/cap_beige_white_1600x1600.jpg,実物写真
CAP 着用,02_実装用画像/03_PRODUCT_CAP/cap_navy_lifestyle_1600x1600.jpg,実物写真
その他商品画像,後日支給,実物写真のみ。モック内のダミーは使用禁止
